Player_ID;Date;Seconds;Left Force;Right Force
MVE0K;2024-01-17;0;19.5;0
MVE0K;2024-01-17;0.69;20;1.5
MVE0K;2024-01-17;0.7;21.5;4.25
MVE0K;2024-01-17;0.75;22;4.5
MVE0K;2024-01-17;0.75;22.75;3.5
MVE0K;2024-01-17;0.75;22.5;3
MVE0K;2024-01-17;0.78;22.5;4
MVE0K;2024-01-17;0.78;21.5;3.25
MVE0K;2024-01-17;0.79;22;4
MVE0K;2024-01-17;0.81;22;4
MVE0K;2024-01-17;0.84;22;4.75
MVE0K;2024-01-17;0.84;22.25;4.5
MVE0K;2024-01-17;0.87;22.5;4
MVE0K;2024-01-17;0.9;22.5;4.25
MVE0K;2024-01-17;0.9;20.75;3.25
MVE0K;2024-01-17;0.99;21.75;4
MVE0K;2024-01-17;0.99;21.5;3.75
MVE0K;2024-01-17;1.02;22.25;4
MVE0K;2024-01-17;1.02;22.5;3.75
MVE0K;2024-01-17;1.02;22.25;3.75
MVE0K;2024-01-17;1.05;23.75;4
MVE0K;2024-01-17;1.05;22.5;3
MVE0K;2024-01-17;1.08;22;3.25
MVE0K;2024-01-17;1.08;21.5;2.25
MVE0K;2024-01-17;1.11;21.25;3
MVE0K;2024-01-17;1.11;22;2.75
MVE0K;2024-01-17;1.14;22;1.75
MVE0K;2024-01-17;1.17;22.25;1.25
MVE0K;2024-01-17;1.17;21.5;1.5
MVE0K;2024-01-17;1.2;22.5;2.25
MVE0K;2024-01-17;1.23;22;2.25
MVE0K;2024-01-17;1.23;23;3.5
MVE0K;2024-01-17;1.26;21.5;2.75
MVE0K;2024-01-17;1.29;22;3.5
MVE0K;2024-01-17;1.29;23.5;3.75
MVE0K;2024-01-17;1.35;23.25;3.25
MVE0K;2024-01-17;1.35;22.75;3.5
MVE0K;2024-01-17;1.38;22;3.5
MVE0K;2024-01-17;1.38;23.25;4.5
MVE0K;2024-01-17;1.41;22;3.75
MVE0K;2024-01-17;1.41;22;4.25
MVE0K;2024-01-17;1.44;22.25;2.75
MVE0K;2024-01-17;1.47;21.75;2.25
MVE0K;2024-01-17;1.47;22.25;3.25
MVE0K;2024-01-17;1.5;21.75;3.5
MVE0K;2024-01-17;1.53;22;5
MVE0K;2024-01-17;1.53;21.75;4.25
MVE0K;2024-01-17;1.56;23;5.25
MVE0K;2024-01-17;1.59;23.25;5.25
MVE0K;2024-01-17;1.59;23.5;5
MVE0K;2024-01-17;1.62;23.5;5.5
MVE0K;2024-01-17;1.68;23.25;5
MVE0K;2024-01-17;1.68;23.5;5
MVE0K;2024-01-17;1.71;23.5;4.25
MVE0K;2024-01-17;1.72;23.5;5.25
MVE0K;2024-01-17;1.72;22.75;5
MVE0K;2024-01-17;1.74;23.25;5.5
MVE0K;2024-01-17;1.77;24;5.5
MVE0K;2024-01-17;1.77;23.25;5.75
MVE0K;2024-01-17;1.8;24;6.5
MVE0K;2024-01-17;1.83;23;5.25
MVE0K;2024-01-17;1.83;23.25;5.5
MVE0K;2024-01-17;1.92;23.75;5.25
MVE0K;2024-01-17;1.93;23.75;5.25
MVE0K;2024-01-17;1.95;24.5;5.25
MVE0K;2024-01-17;1.95;25;5.5
MVE0K;2024-01-17;1.98;26;5.5
MVE0K;2024-01-17;1.99;25.5;4.5
MVE0K;2024-01-17;1.99;27;5.25
MVE0K;2024-01-17;2.01;27.75;4.5
MVE0K;2024-01-17;2.01;28.25;4.25
MVE0K;2024-01-17;2.04;28.75;3.5
MVE0K;2024-01-17;2.07;29;4.5
MVE0K;2024-01-17;2.07;30.25;5
MVE0K;2024-01-17;2.16;30;3.5
MVE0K;2024-01-17;2.16;32;3.75
MVE0K;2024-01-17;2.19;32.75;2.5
MVE0K;2024-01-17;2.19;33.5;3
MVE0K;2024-01-17;2.22;33.25;2.25
MVE0K;2024-01-17;2.22;33.75;3
MVE0K;2024-01-17;2.25;36.25;3.25
MVE0K;2024-01-17;2.25;35.75;3
MVE0K;2024-01-17;2.26;36;3.75
MVE0K;2024-01-17;2.28;35.5;4.25
MVE0K;2024-01-17;2.31;35;5
MVE0K;2024-01-17;2.31;34.5;4
MVE0K;2024-01-17;2.34;34;4.75
MVE0K;2024-01-17;2.46;33.5;5.25
MVE0K;2024-01-17;2.46;33;5.25
MVE0K;2024-01-17;2.49;32.75;5.25
MVE0K;2024-01-17;2.49;32;4.25
MVE0K;2024-01-17;2.49;32.5;4.75
MVE0K;2024-01-17;2.49;32.5;3
MVE0K;2024-01-17;2.52;32.5;3.25
MVE0K;2024-01-17;2.52;33;3
