Player_ID;Date;Seconds;Left Force;Right Force
USER BVE0M;2024-01-17;0;36.5;35.75
USER BVE0M;2024-01-17;0.69;38;38.25
USER BVE0M;2024-01-17;0.75;42.25;60.5
USER BVE0M;2024-01-17;0.76;41.5;49.5
USER BVE0M;2024-01-17;0.76;44.25;50.75
USER BVE0M;2024-01-17;0.81;45.25;52.5
USER BVE0M;2024-01-17;0.82;47.75;55
USER BVE0M;2024-01-17;0.84;52.75;60.25
USER BVE0M;2024-01-17;0.84;55;65.75
USER BVE0M;2024-01-17;0.85;54.5;67.75
USER BVE0M;2024-01-17;0.87;52.75;68.5
USER BVE0M;2024-01-17;0.87;52.25;68.25
USER BVE0M;2024-01-17;0.9;52;68.25
USER BVE0M;2024-01-17;0.9;52.25;67.25
USER BVE0M;2024-01-17;0.9;52.5;66.75
USER BVE0M;2024-01-17;0.93;49.75;65.5
USER BVE0M;2024-01-17;0.96;49.25;62.5
USER BVE0M;2024-01-17;0.96;48;63.25
USER BVE0M;2024-01-17;1.02;47.5;62.75
USER BVE0M;2024-01-17;1.02;46.5;61.5
USER BVE0M;2024-01-17;1.02;46.75;61.25
USER BVE0M;2024-01-17;1.05;47.25;60.25
USER BVE0M;2024-01-17;1.05;45.75;60.25
USER BVE0M;2024-01-17;1.08;45.75;58.75
USER BVE0M;2024-01-17;1.11;45.75;60
USER BVE0M;2024-01-17;1.11;48;62
USER BVE0M;2024-01-17;1.14;48.5;62.5
USER BVE0M;2024-01-17;1.17;47.75;63.5
USER BVE0M;2024-01-17;1.18;48;63.25
USER BVE0M;2024-01-17;1.2;46.25;63
USER BVE0M;2024-01-17;1.23;46.5;62.5
USER BVE0M;2024-01-17;1.23;45.75;62.5
USER BVE0M;2024-01-17;1.29;44.5;62
USER BVE0M;2024-01-17;1.32;43.75;61.75
USER BVE0M;2024-01-17;1.32;43;61.25
USER BVE0M;2024-01-17;1.32;44;60.5
USER BVE0M;2024-01-17;1.35;43.75;60
USER BVE0M;2024-01-17;1.35;43.75;59.25
USER BVE0M;2024-01-17;1.41;42.25;58.25
USER BVE0M;2024-01-17;1.41;42;58.5
USER BVE0M;2024-01-17;1.41;42.75;58.5
USER BVE0M;2024-01-17;1.44;42.75;59.75
USER BVE0M;2024-01-17;1.47;43.75;61
USER BVE0M;2024-01-17;1.47;43.75;62.25
USER BVE0M;2024-01-17;1.5;44.25;62.5
USER BVE0M;2024-01-17;1.53;43.75;62.5
USER BVE0M;2024-01-17;1.54;44.5;64.5
USER BVE0M;2024-01-17;1.56;43.75;64
USER BVE0M;2024-01-17;1.59;42.75;63.25
USER BVE0M;2024-01-17;1.62;43.75;63.25
USER BVE0M;2024-01-17;1.62;43;63.25
USER BVE0M;2024-01-17;1.65;44.75;65.25
USER BVE0M;2024-01-17;1.66;45.75;67
USER BVE0M;2024-01-17;1.68;47.5;72.25
USER BVE0M;2024-01-17;1.71;51.25;77.5
USER BVE0M;2024-01-17;1.72;54;81.25
USER BVE0M;2024-01-17;1.74;56;83
USER BVE0M;2024-01-17;1.77;55.5;83.25
USER BVE0M;2024-01-17;1.78;55.5;83
USER BVE0M;2024-01-17;1.8;55.25;82.25
USER BVE0M;2024-01-17;1.83;54.25;82.5
USER BVE0M;2024-01-17;1.86;52;81.75
USER BVE0M;2024-01-17;1.86;48.5;78
USER BVE0M;2024-01-17;1.89;45.75;73.75
USER BVE0M;2024-01-17;1.89;41.75;68.75
USER BVE0M;2024-01-17;1.92;39.75;66
USER BVE0M;2024-01-17;1.95;39.25;63.25
USER BVE0M;2024-01-17;1.95;38.75;61.5
USER BVE0M;2024-01-17;1.98;39;60.75
USER BVE0M;2024-01-17;2.01;38.25;59.75
USER BVE0M;2024-01-17;2.01;38;59.5
USER BVE0M;2024-01-17;2.04;37.5;58.25
USER BVE0M;2024-01-17;2.07;38;57.5
USER BVE0M;2024-01-17;2.08;38.25;57.75
USER BVE0M;2024-01-17;2.1;38.75;57.5
USER BVE0M;2024-01-17;2.13;38.5;58.5
USER BVE0M;2024-01-17;2.14;37.5;59.5
USER BVE0M;2024-01-17;2.16;38.75;61.5
USER BVE0M;2024-01-17;2.19;38;63.5
USER BVE0M;2024-01-17;2.19;38.5;63.75
USER BVE0M;2024-01-17;2.22;39.75;65.5
USER BVE0M;2024-01-17;2.25;39.5;66.25
USER BVE0M;2024-01-17;2.25;39.25;68.75
USER BVE0M;2024-01-17;2.28;39.25;70.25
USER BVE0M;2024-01-17;2.31;41.25;71.5
USER BVE0M;2024-01-17;2.31;40.25;72.25
USER BVE0M;2024-01-17;2.34;40.5;71.25
USER BVE0M;2024-01-17;2.37;40.25;71
USER BVE0M;2024-01-17;2.4;39.25;68.75
USER BVE0M;2024-01-17;2.43;38.5;66.5
USER BVE0M;2024-01-17;2.43;37.5;65
USER BVE0M;2024-01-17;2.46;36.5;63
USER BVE0M;2024-01-17;2.46;34.25;63
USER BVE0M;2024-01-17;2.49;33.5;61.5
USER BVE0M;2024-01-17;2.49;33.75;61.5
USER BVE0M;2024-01-17;2.52;35;60.75
USER BVE0M;2024-01-17;2.55;37.75;60
USER BVE0M;2024-01-17;2.55;37;59.25
USER BVE0M;2024-01-17;2.58;37.5;58.75
USER BVE0M;2024-01-17;2.61;37.5;58.5
USER BVE0M;2024-01-17;2.61;38.5;59.5
USER BVE0M;2024-01-17;2.64;38.75;60.75
USER BVE0M;2024-01-17;2.67;38.5;61.75
USER BVE0M;2024-01-17;2.68;37.25;60.5
USER BVE0M;2024-01-17;2.73;35.75;60.25
USER BVE0M;2024-01-17;2.73;36.25;59.25
USER BVE0M;2024-01-17;2.76;35.75;57.25
USER BVE0M;2024-01-17;2.76;36;55.25
USER BVE0M;2024-01-17;2.79;35.25;52.25
USER BVE0M;2024-01-17;2.79;35.75;50
USER BVE0M;2024-01-17;2.82;35.25;46
USER BVE0M;2024-01-17;2.85;32;43.25
USER BVE0M;2024-01-17;2.86;30.25;40.25
USER BVE0M;2024-01-17;2.88;28.75;39.25
USER BVE0M;2024-01-17;2.91;29.75;38.5
USER BVE0M;2024-01-17;2.92;30.5;37
USER BVE0M;2024-01-17;2.94;31;35.25
USER BVE0M;2024-01-17;2.97;31.5;32.25
USER BVE0M;2024-01-17;2.98;31.75;31.75
USER BVE0M;2024-01-17;3;34;29.75
USER BVE0M;2024-01-17;3.06;33.5;28.5
USER BVE0M;2024-01-17;3.06;33.75;30.25
USER BVE0M;2024-01-17;3.07;33.25;32.75
USER BVE0M;2024-01-17;3.09;33.75;37
USER BVE0M;2024-01-17;3.09;34.75;40.5
USER BVE0M;2024-01-17;3.12;35.75;46.25
USER BVE0M;2024-01-17;3.15;38.75;53.75
USER BVE0M;2024-01-17;3.15;39.5;59.75
USER BVE0M;2024-01-17;3.18;41;63.5
USER BVE0M;2024-01-17;3.21;40;66.25
USER BVE0M;2024-01-17;3.21;38;70.5
USER BVE0M;2024-01-17;3.24;34.75;72.25
USER BVE0M;2024-01-17;3.27;29.25;73
USER BVE0M;2024-01-17;3.28;25.75;73
USER BVE0M;2024-01-17;3.3;22.25;69.25
USER BVE0M;2024-01-17;3.33;20;65.5
USER BVE0M;2024-01-17;3.33;17;60.25
USER BVE0M;2024-01-17;3.36;15.5;55
USER BVE0M;2024-01-17;3.39;15.25;49
USER BVE0M;2024-01-17;3.39;15;42.5
USER BVE0M;2024-01-17;3.42;16.5;36.25
USER BVE0M;2024-01-17;3.45;16.25;29
USER BVE0M;2024-01-17;3.45;16;24.5
USER BVE0M;2024-01-17;3.51;13.5;20.25
USER BVE0M;2024-01-17;3.54;12.75;16.75
USER BVE0M;2024-01-17;3.54;10;13.5
USER BVE0M;2024-01-17;3.57;8.5;9.75
USER BVE0M;2024-01-17;3.58;7.25;8
USER BVE0M;2024-01-17;3.58;6.5;7.75
USER BVE0M;2024-01-17;3.6;8.25;10.5
USER BVE0M;2024-01-17;3.63;8.5;12.25
USER BVE0M;2024-01-17;3.63;11.75;12.5
USER BVE0M;2024-01-17;3.66;12.25;12
USER BVE0M;2024-01-17;3.69;13;10.25
USER BVE0M;2024-01-17;3.69;13;8.25
USER BVE0M;2024-01-17;3.72;11.5;5.75
USER BVE0M;2024-01-17;3.75;10.75;4.75
USER BVE0M;2024-01-17;3.78;9.75;1.75
USER BVE0M;2024-01-17;3.78;10.25;1.25
USER BVE0M;2024-01-17;3.78;9.75;0
USER BVE0M;2024-01-17;3.81;12.5;0
USER BVE0M;2024-01-17;3.84;13.75;0.5
USER BVE0M;2024-01-17;3.84;15;2.25
USER BVE0M;2024-01-17;3.9;16.5;5.25
USER BVE0M;2024-01-17;3.9;17.25;6.5
USER BVE0M;2024-01-17;3.9;18.5;11.25
USER BVE0M;2024-01-17;3.93;21.5;17.25
USER BVE0M;2024-01-17;3.96;25.75;23.25
USER BVE0M;2024-01-17;3.96;26.25;27.25
USER BVE0M;2024-01-17;3.99;28.25;29.75
USER BVE0M;2024-01-17;4.02;28.25;33.75
USER BVE0M;2024-01-17;4.02;27;38.5
USER BVE0M;2024-01-17;4.05;26.5;43.25
USER BVE0M;2024-01-17;4.08;23.75;43.75
USER BVE0M;2024-01-17;4.08;23.75;40
USER BVE0M;2024-01-17;4.11;21;34.75
USER BVE0M;2024-01-17;4.17;19.25;29
USER BVE0M;2024-01-17;4.18;16.25;24.25
USER BVE0M;2024-01-17;4.21;13.25;18.25
USER BVE0M;2024-01-17;4.21;12.5;13.5
USER BVE0M;2024-01-17;4.26;10.5;9.5
USER BVE0M;2024-01-17;4.26;10.25;7
USER BVE0M;2024-01-17;4.29;9;7
USER BVE0M;2024-01-17;4.29;10;6.25
USER BVE0M;2024-01-17;4.32;10.25;7
USER BVE0M;2024-01-17;4.32;10.75;6.5
USER BVE0M;2024-01-17;4.33;11.5;7.75
USER BVE0M;2024-01-17;4.38;10.75;8.5
USER BVE0M;2024-01-17;4.38;11.5;8.75
USER BVE0M;2024-01-17;4.38;10.5;8
USER BVE0M;2024-01-17;4.41;12.25;6.5
USER BVE0M;2024-01-17;4.47;12.25;6.25
USER BVE0M;2024-01-17;4.49;12.75;5.5
USER BVE0M;2024-01-17;4.49;13;5.25
USER BVE0M;2024-01-17;4.5;13.5;4.75
USER BVE0M;2024-01-17;4.5;14.75;4
USER BVE0M;2024-01-17;4.56;15.25;4.25
USER BVE0M;2024-01-17;4.56;17.5;4.25
USER BVE0M;2024-01-17;4.59;17.25;5
USER BVE0M;2024-01-17;4.59;19.5;3.5
USER BVE0M;2024-01-17;4.62;20.75;2.5
USER BVE0M;2024-01-17;4.63;22.5;1
USER BVE0M;2024-01-17;4.65;24.5;1.75
USER BVE0M;2024-01-17;4.68;26.5;1.25
USER BVE0M;2024-01-17;4.68;30;0.25
USER BVE0M;2024-01-17;4.71;31.25;1.25
USER BVE0M;2024-01-17;4.74;32.25;2
USER BVE0M;2024-01-17;4.74;32.75;4.75
USER BVE0M;2024-01-17;4.77;34;6.25
USER BVE0M;2024-01-17;4.8;35.5;10.25
USER BVE0M;2024-01-17;4.81;37.5;15.25
USER BVE0M;2024-01-17;4.83;41.25;21.25
USER BVE0M;2024-01-17;4.86;44.5;25.25
USER BVE0M;2024-01-17;4.86;47.25;30.5
USER BVE0M;2024-01-17;4.89;49;37.5
USER BVE0M;2024-01-17;4.95;51.75;41
USER BVE0M;2024-01-17;4.98;53.5;44
USER BVE0M;2024-01-17;4.98;53;44
USER BVE0M;2024-01-17;5.01;52.25;43.75
USER BVE0M;2024-01-17;5.01;49.25;43.25
USER BVE0M;2024-01-17;5.01;47.5;41.75
USER BVE0M;2024-01-17;5.04;46;42.25
USER BVE0M;2024-01-17;5.05;46.25;41.25
USER BVE0M;2024-01-17;5.07;48.5;42
USER BVE0M;2024-01-17;5.13;51.5;43.25
USER BVE0M;2024-01-17;5.16;54.75;44.5
USER BVE0M;2024-01-17;5.19;55.75;47
USER BVE0M;2024-01-17;5.19;59.75;48.5
USER BVE0M;2024-01-17;5.19;63.75;49.75
USER BVE0M;2024-01-17;5.22;65.75;50.25
USER BVE0M;2024-01-17;5.25;68;52.5
USER BVE0M;2024-01-17;5.28;69.75;55.25
USER BVE0M;2024-01-17;5.28;71;58.25
USER BVE0M;2024-01-17;5.28;72.25;62.25
USER BVE0M;2024-01-17;5.31;75.75;68.5
USER BVE0M;2024-01-17;5.31;77.75;76.5
USER BVE0M;2024-01-17;5.34;78.75;83.25
USER BVE0M;2024-01-17;5.35;81.5;86.5
USER BVE0M;2024-01-17;5.37;83.25;87.75
USER BVE0M;2024-01-17;5.4;84.5;88.5
USER BVE0M;2024-01-17;5.41;85;87.75
USER BVE0M;2024-01-17;5.43;85.25;84.25
USER BVE0M;2024-01-17;5.46;87;82.25
USER BVE0M;2024-01-17;5.47;86.5;81.25
