Player_ID;Date;Seconds;Left Force;Right Force
VVE0A;2024-01-17;0;2.5;11.5
VVE0A;2024-01-17;0.72;4.25;12.25
VVE0A;2024-01-17;0.73;12.75;5.5
VVE0A;2024-01-17;0.75;15.25;14.25
VVE0A;2024-01-17;0.76;13;18.5
VVE0A;2024-01-17;0.76;12.25;18.75
VVE0A;2024-01-17;0.78;11.5;19.5
VVE0A;2024-01-17;0.78;9.5;18.5
VVE0A;2024-01-17;0.78;8.75;19.25
VVE0A;2024-01-17;0.81;6.75;20
VVE0A;2024-01-17;0.84;7;20.75
VVE0A;2024-01-17;0.84;5.25;21.75
VVE0A;2024-01-17;0.87;4;22
VVE0A;2024-01-17;0.9;4;23
VVE0A;2024-01-17;0.9;2.75;22.75
VVE0A;2024-01-17;0.93;2.5;24.25
VVE0A;2024-01-17;0.96;1.75;25.5
VVE0A;2024-01-17;0.96;2.25;25.75
VVE0A;2024-01-17;1.02;1.5;26.5
VVE0A;2024-01-17;1.02;3.75;27.25
VVE0A;2024-01-17;1.05;3.75;28.5
VVE0A;2024-01-17;1.05;4;28.25
VVE0A;2024-01-17;1.05;5.25;29
VVE0A;2024-01-17;1.08;5.25;30
VVE0A;2024-01-17;1.11;6.5;29.75
VVE0A;2024-01-17;1.11;7;29.25
VVE0A;2024-01-17;1.14;11.25;27.5
VVE0A;2024-01-17;1.17;12;28
VVE0A;2024-01-17;1.17;11.5;27.25
VVE0A;2024-01-17;1.2;10.5;27
VVE0A;2024-01-17;1.23;10;26.25
VVE0A;2024-01-17;1.23;11.75;25.25
VVE0A;2024-01-17;1.26;13;26.5
VVE0A;2024-01-17;1.29;16;26.25
VVE0A;2024-01-17;1.29;17;26
VVE0A;2024-01-17;1.32;19.5;23.75
VVE0A;2024-01-17;1.35;19.5;22.25
VVE0A;2024-01-17;1.36;20.25;21.75
VVE0A;2024-01-17;1.38;20.75;20.75
VVE0A;2024-01-17;1.41;21;21.25
VVE0A;2024-01-17;1.41;22.5;21
VVE0A;2024-01-17;1.44;23;21.75
VVE0A;2024-01-17;1.47;25.25;20.5
VVE0A;2024-01-17;1.47;26.75;21.5
VVE0A;2024-01-17;1.5;28.5;22.75
VVE0A;2024-01-17;1.53;29;24.75
VVE0A;2024-01-17;1.53;30;27
VVE0A;2024-01-17;1.56;33.25;26.5
VVE0A;2024-01-17;1.59;33.25;25.25
VVE0A;2024-01-17;1.59;33.25;23
VVE0A;2024-01-17;1.62;31.25;21.25
VVE0A;2024-01-17;1.65;29.5;19.5
VVE0A;2024-01-17;1.65;27.75;17.5
VVE0A;2024-01-17;1.68;28.25;16.25
VVE0A;2024-01-17;1.71;28.5;14.25
VVE0A;2024-01-17;1.71;27.25;12.5
VVE0A;2024-01-17;1.74;27.75;11.75
VVE0A;2024-01-17;1.77;26.5;11
VVE0A;2024-01-17;1.77;26.25;10
VVE0A;2024-01-17;1.8;25.75;8.5
VVE0A;2024-01-17;1.83;24.5;8
VVE0A;2024-01-17;1.83;24;6
VVE0A;2024-01-17;1.86;22.75;6
VVE0A;2024-01-17;1.89;23.25;5.75
VVE0A;2024-01-17;1.89;22.25;5.25
VVE0A;2024-01-17;1.92;22.75;4.5
VVE0A;2024-01-17;1.95;22.25;3.75
VVE0A;2024-01-17;1.95;22.25;4.25
VVE0A;2024-01-17;1.98;22.5;4
VVE0A;2024-01-17;2.01;22;4.5
VVE0A;2024-01-17;2.01;23;4
VVE0A;2024-01-17;2.04;23.25;4
VVE0A;2024-01-17;2.07;24.5;3
VVE0A;2024-01-17;2.07;25.25;3.5
VVE0A;2024-01-17;2.1;26;4.5
VVE0A;2024-01-17;2.13;27.75;4.25
VVE0A;2024-01-17;2.13;30;5.75
VVE0A;2024-01-17;2.16;34.75;6.5
VVE0A;2024-01-17;2.19;37.75;8.25
VVE0A;2024-01-17;2.19;43.25;9.75
VVE0A;2024-01-17;2.22;48;14.75
VVE0A;2024-01-17;2.25;52;19.25
VVE0A;2024-01-17;2.25;52.25;20.75
VVE0A;2024-01-17;2.28;50.75;22.75
VVE0A;2024-01-17;2.31;49;22.5
VVE0A;2024-01-17;2.31;45.5;21.75
VVE0A;2024-01-17;2.34;41.75;18.5
VVE0A;2024-01-17;2.37;36;16
VVE0A;2024-01-17;2.37;34.5;13
VVE0A;2024-01-17;2.4;33.5;10.75
VVE0A;2024-01-17;2.43;30.75;9.75
VVE0A;2024-01-17;2.43;29;8.75
VVE0A;2024-01-17;2.46;27.75;8.75
VVE0A;2024-01-17;2.49;26.75;6.25
VVE0A;2024-01-17;2.49;25;6
VVE0A;2024-01-17;2.52;26;6
VVE0A;2024-01-17;2.55;25.25;6.25
VVE0A;2024-01-17;2.56;24.25;6
VVE0A;2024-01-17;2.58;25.5;4
VVE0A;2024-01-17;2.61;25.25;3.25
VVE0A;2024-01-17;2.61;28.5;1.25
VVE0A;2024-01-17;2.64;31.25;2
VVE0A;2024-01-17;2.67;32.75;2.75
VVE0A;2024-01-17;2.67;33.5;3.25
VVE0A;2024-01-17;2.73;35.5;3.5
VVE0A;2024-01-17;2.76;38.5;2
VVE0A;2024-01-17;2.76;39.75;2
VVE0A;2024-01-17;2.76;41.5;0.5
VVE0A;2024-01-17;2.79;41.5;0
VVE0A;2024-01-17;2.79;43.25;0
VVE0A;2024-01-17;2.82;46;0
VVE0A;2024-01-17;2.85;47.5;0
VVE0A;2024-01-17;2.85;49.75;0
VVE0A;2024-01-17;2.88;51.25;0
VVE0A;2024-01-17;2.91;54;0
VVE0A;2024-01-17;2.91;54;0
VVE0A;2024-01-17;2.94;55;0
VVE0A;2024-01-17;2.99;55.5;0
VVE0A;2024-01-17;3;55.25;0
VVE0A;2024-01-17;3;55;0
VVE0A;2024-01-17;3.03;53.5;0
VVE0A;2024-01-17;3.03;53.25;0
VVE0A;2024-01-17;3.06;51.25;0
VVE0A;2024-01-17;3.09;49.75;0
VVE0A;2024-01-17;3.09;47.75;0
VVE0A;2024-01-17;3.12;46;0
VVE0A;2024-01-17;3.15;47.5;0
VVE0A;2024-01-17;3.15;47.25;0
VVE0A;2024-01-17;3.18;48.75;0
VVE0A;2024-01-17;3.21;50;0
VVE0A;2024-01-17;3.21;51.25;0
VVE0A;2024-01-17;3.24;54;0
VVE0A;2024-01-17;3.27;54;0
VVE0A;2024-01-17;3.27;54.75;0
VVE0A;2024-01-17;3.3;55.5;0
VVE0A;2024-01-17;3.33;58.5;0
VVE0A;2024-01-17;3.33;59;0
VVE0A;2024-01-17;3.36;59.75;0
VVE0A;2024-01-17;3.39;59;0
VVE0A;2024-01-17;3.39;56.75;0
VVE0A;2024-01-17;3.42;55.25;0
VVE0A;2024-01-17;3.45;53.25;0
VVE0A;2024-01-17;3.45;51.75;0
VVE0A;2024-01-17;3.51;51;0
VVE0A;2024-01-17;3.51;49.75;0
VVE0A;2024-01-17;3.54;48.5;0
VVE0A;2024-01-17;3.54;45.75;0.25
VVE0A;2024-01-17;3.54;42.75;2.25
VVE0A;2024-01-17;3.57;39.25;3.75
VVE0A;2024-01-17;3.6;38.5;7.5
VVE0A;2024-01-17;3.63;38;11
VVE0A;2024-01-17;3.63;37.25;14.75
VVE0A;2024-01-17;3.66;37.25;18.25
VVE0A;2024-01-17;3.69;36.75;20.25
VVE0A;2024-01-17;3.69;36.25;21.25
VVE0A;2024-01-17;3.72;35;18.5
