Name,Date,Position Name,Total Distance (m),Total Player Load,Velocity Band 5 Total Distance (m),Velocity Band 6 Total Distance (m),Velocity Band 7 Total Distance (m),Velocity Band 8 Total Distance (m),Acceleration B2 Distance (Gen 2) (m),Acceleration B3 Distance (Gen 2) (m),Deceleration B2 Distance (Gen 2) (m),Deceleration B3 Distance (Gen 2) (m)
USER TVE0A- 17/05/2023,17/05/2023,INTERIOR,4814.25244,453.79324,85.64,0,0,0,0,0,0.55,0
USER TVE0A- 18/05/2023,18/05/2023,INTERIOR,3946.97888,434.64514,31.4,0,0,0,1.62,0,0,0
USER TVE0A- 19/05/2023,19/05/2023,INTERIOR,2552.32014,308.95338,51.65,0,0,0,0,0,0,0
USER TVE0A- 20/05/2023,20/05/2023,INTERIOR,8057.70227,873.55414,114.61,0.54,0,0,0,0,1.37,0
USER TVE0A- 22/05/2023,22/05/2023,INTERIOR,5796.5235,571.29694,107.12,19.83,0,0,1.28,0,0.55,0
USER TVE0A- 23/05/2023,23/05/2023,INTERIOR,2806.60098,304.99397,85.95,14.18,2.67,0,0,0,0,0
USER TVE0A- 24/05/2023,24/05/2023,INTERIOR,3048.61401,286.70356,45.29,0,0,0,0,0,0,0
USER TVE0A- 25/05/2023,25/05/2023,INTERIOR,6612.5553,703.22183,154.34,42.09,0,0,0,0,0.51,0
USER TVE0A- 26/05/2023,26/05/2023,INTERIOR,1293.48798,180.98058,3.32,0,0,0,1.83,0,0.24,0
USER TVE0A- 27/05/2023,27/05/2023,INTERIOR,9136.62744,842.63257,160.13,9.01,0,0,0,0,1.44,0
USER TVE0A- 03/10/2023,03/10/2023,INTERIOR,3854.98816,404.37365,57.83,18.01,0,0,0,0,0,0
USER TVE0A- 04/10/2023,04/10/2023,INTERIOR,3547.46387,369.68759,86.34,13.57,0,0,0,0,0.82,0
USER TVE0A- 06/10/2023,06/10/2023,INTERIOR,2770.43933,323.3963,3.95,0,0,0,0.91,0,0.33,0
USER TVE0A- 07/10/2023,07/10/2023,INTERIOR,4726.00708,502.06219,78.24,2.89,0,0,3.7,1.74,0.96,0
USER TVE0A- 09/10/2023,09/10/2023,INTERIOR,4747.15637,352.45902,0,0,0,0,0,0,0,0
USER TVE0A- 10/10/2023,10/10/2023,INTERIOR,1918.1311,212.34535,42.68,18.21,26.07,0,11.22,0,2.9,0
USER TVE0A- 11/10/2023,11/10/2023,INTERIOR,7191.56494,702.22073,160.29,0,0,0,1.1,0,1.33,0
USER TVE0A- 18/01/2024,18/01/2024,INTERIOR,2213.41104,211.69427,28.79,0,0,0,1.78,0,0,0
USER TVE0A- 19/01/2024,19/01/2024,INTERIOR,3563.08691,379.97452,49.85,0,0,0,1.22,0,0.65,0
USER TVE0A- 20/01/2024,20/01/2024,INTERIOR,3996.21021,390.15848,78.48,0,0,0,0,0,1.46,0
USER TVE0A- 24/01/2024,24/01/2024,INTERIOR,3637.33105,423.10419,90.73,0,0,0,2.69,0,4.99,0.84
USER TVE0A- 25/01/2024,25/01/2024,INTERIOR,5591.20288,584.45648,25.72,0,0,0,0.45,0,1.21,0
USER TVE0A- 26/01/2024,26/01/2024,INTERIOR,2907.98621,337.95467,61.97,10.62,0,0,0.26,0,1.83,0.5
USER TVE0A- 27/01/2024,27/01/2024,INTERIOR,7077.38794,706.78476,240.15,13.85,0,0,3.22,0,5.84,0.66
USER ZVE0A - 17/05/2023,17/05/2023,DEFENSA CENTRAL,8154.03711,839.88745,285.44001,97.74,0,0,6.09,0,3.54,0.74
USER ZVE0A - 19/05/2023,19/05/2023,DEFENSA CENTRAL,3353.78954,448.55325,78.49,6.03,0,0,0,0,1.06,0.15
USER ZVE0A - 20/05/2023,20/05/2023,DEFENSA CENTRAL,7545.66809,834.37694,182.66,139.39,38.6,0,3.59,0,4.05,0.37
USER ZVE0A - 22/05/2023,22/05/2023,DEFENSA CENTRAL,2594.39716,295.57708,18.48,8.89,0,0,0,0,0.12,0
USER ZVE0A - 23/05/2023,23/05/2023,DEFENSA CENTRAL,2491.1962,301.35886,90.71,65.26,4.56,0,0,0,1.53,0
USER ZVE0A - 24/05/2023,24/05/2023,DEFENSA CENTRAL,2498.05054,277.85177,6.17,0,0,0,0,0,0.05,0
USER ZVE0A - 25/05/2023,25/05/2023,DEFENSA CENTRAL,3825.05884,444.72467,93.68,17.86,26.17,0,0.34,0,0.11,0
USER ZVE0A - 26/05/2023,26/05/2023,DEFENSA CENTRAL,1873.66028,278.03767,18.35,10.62,0,0,3.07,0,0.81,0
USER ZVE0A - 27/05/2023,27/05/2023,DEFENSA CENTRAL,7320.03882,686.3078,126.75,46.87,0,0,0.31,0,0.7,0
USER ZVE0A - 03/10/2023,03/10/2023,DEFENSA CENTRAL,3758.7417,466.21739,7.84,0.53,0,0,0.3,0,0.71,0
USER ZVE0A - 04/10/2023,04/10/2023,DEFENSA CENTRAL,5429.2356,531.14211,136.93,58.17,29.47,0,0.82,0,2.09,0
USER ZVE0A - 06/10/2023,06/10/2023,DEFENSA CENTRAL,2383.65448,314.76057,4.3,0,0,0,0,0,0,0
USER ZVE0A - 07/10/2023,07/10/2023,DEFENSA CENTRAL,3722.45093,387.0932,132.05,10.96,0,0,5.69,0,2.77,0.3
USER ZVE0A - 09/10/2023,09/10/2023,DEFENSA CENTRAL,1784.33459,349.68574,1.08,0,0,0,0,0,0,0
USER ZVE0A - 11/10/2023,11/10/2023,DEFENSA CENTRAL,5057.43921,492.80981,231.75999,110.44,16.21,0,2.69,0,3.32,0.45
USER ZVE0A - 18/01/2024,18/01/2024,DEFENSA CENTRAL,2003.67224,194.81983,18.64,3.92,0,0,0,0,1.7,0
USER ZVE0A - 19/01/2024,19/01/2024,DEFENSA CENTRAL,3626.43726,416.24673,38.49,0,0,0,0,0,0.51,0
USER ZVE0A - 20/01/2024,20/01/2024,DEFENSA CENTRAL,3347.89014,288.42294,151.62,19.05,0,0,5.91,0,2.91,0
USER ZVE0A - 24/01/2024,24/01/2024,DEFENSA CENTRAL,2591.45984,265.76566,85.09,5.09,0,0,13.42,0,3.37,0
USER ZVE0A - 25/01/2024,25/01/2024,DEFENSA CENTRAL,5328.66467,537.08635,105.1,27.14,0,0,11.81,0,3.35,0
USER ZVE0A - 26/01/2024,26/01/2024,DEFENSA CENTRAL,2464.23553,299.63508,63.22,0,0,0,3.98,0,1.42,0
USER ZVE0A - 27/01/2024,27/01/2024,DEFENSA CENTRAL,5606.09961,506.89124,223.44,61.55,0,0,6.81,0,7.55,1.21
USER VVE0A- 18/01/2024,18/01/2024,Goal keeper,2490.39697,292.10266,1.24,0,0,0,0,0,1,0.98
USER VVE0A- 20/01/2024,20/01/2024,Goal keeper,2480.84741,227.16382,0,0,0,0,4.82,0,1.3,0
USER VVE0A- 25/01/2024,25/01/2024,Goal keeper,4029.79614,391.612,49.32,0,0,0,5.95,0,1.9,0.43
USER VVE0A- 26/01/2024,26/01/2024,Goal keeper,1450.74588,155.66514,0,0,0,0,0.36,0,0,0
USER AVE0E - 17/05/2023,17/05/2023,EXTREMO,9572.27112,1150.44135,547.28999,124.21,0.64,0,3.79,0,8.73,0.44
